train_nbr,ariv_delay,dept_delay,mileage,fare_plan_cds,states_cd,orig_stns,dest_stns
2900,49,0,480,242,17,343,62
71000,0,18,204,223,7,285,33
14520,0,0,112,89,10,478,91
18200,-6,0,225,35,37,478,326
2700,189,92,400,89,8,291,118
2800,242,241,417,112,26,291,62
38200,-16,7,131,89,17,223,62
5410,13,0,226,12,10,478,326
77700,-6,7,134,216,7,15,404
31300,22,7,202,89,27,189,222
8520,6,0,116,105,10,478,394
13400,-3,0,225,79,10,478,326
9320,-19,5,193,142,49,12,308
500,-31,0,1038,229,17,62,100
17300,-1,2,197,79,34,364,324
5210,-92,-31,855,203,12,410,254
5310,19,-5,855,82,34,252,414
50700,-5,0,187,12,51,408,348
18300,-2,1,215,242,34,319,480
2000,-24,0,354,89,21,312,35
39300,37,0,129,89,17,62,63
17200,-1,0,109,181,11,478,490
31920,36,17,372,89,17,216,215
42200,-21,0,1909,89,17,125,62
65420,2,0,158,89,41,249,326
7300,-2,0,173,89,30,372,73
16800,0,0,134,114,49,478,350
76100,-3,0,129,216,7,395,239
50700,11,0,75,12,51,408,332
13800,-6,0,225,93,23,478,326
69400,,,51,235,33,136,42
9410,-1,0,231,114,22,320,43
77700,15,0,149,216,7,212,404
37100,-10,4,88,12,25,413,62
77400,-6,5,195,218,7,179,239
33800,1,0,86,220,17,283,62
58100,0,12,129,216,7,395,239
15610,2,3,185,242,23,24,326
6410,-12,3,89,89,37,373,326
28310,7,0,142,35,37,320,6
71300,29,0,202,223,7,201,298
5620,13,2,137,74,22,320,436
29020,-2,0,243,242,37,388,326
56800,4,0,126,216,7,239,331
35100,-16,4,243,12,17,16,62
67010,-6,4,91,35,13,344,326
24100,41,33,141,112,37,320,6
12520,-12,0,342,113,7,320,394
30500,0,0,124,35,44,62,41
5310,46,-6,855,171,56,252,414
1900,-11,5,849,12,13,319,21
68700,15,2,100,238,24,42,400
14010,-9,2,195,169,23,54,326
300,71,76,924,112,35,1,239
69200,3,5,16,238,24,353,400
35100,7,10,105,35,25,16,220
68500,3,2,116,235,24,42,359
71700,12,14,219,223,7,77,298
217200,-3,0,232,81,11,320,43
71500,3,0,234,223,7,33,418
17000,10,0,195,79,23,54,326
500,-34,0,1038,121,8,62,100
9200,51,14,204,89,41,152,247
17300,-3,0,231,120,22,43,326
6720,9,0,267,12,23,488,481
19300,3,0,185,105,23,320,24
216400,6,0,134,174,10,478,350
16800,-2,0,225,12,11,478,326
54100,3,1,0,217,7,97,156
3000,17,31,591,12,18,508,380
13810,-8,0,224,181,49,478,326
217000,-9,0,231,80,37,320,28
217300,3,0,196,25,37,43,444
5210,46,0,855,229,12,410,254
50310,-2,0,187,177,51,408,348
600,241,171,198,35,8,164,172
5900,248,0,575,89,28,62,287
16200,39,17,232,89,37,320,43
65110,3,3,58,173,37,320,460
64520,-1,3,100,35,41,319,344
68800,166,0,116,235,22,353,42
6710,3,0,324,105,30,43,350
14010,-11,1,225,180,49,478,326
17410,2,0,221,89,22,320,390
13800,-4,2,195,77,37,54,326
66620,5,0,100,121,34,338,324
8010,9,10,116,89,37,488,326
53600,,,70,217,7,128,97
224800,0,0,225,63,51,478,326
17110,0,5,75,66,22,308,326
17900,12,0,157,89,7,43,312
31600,40,0,283,35,27,222,443
71600,-4,0,146,223,7,324,270
33300,-1,0,86,220,17,62,286
7920,2,14,109,89,46,478,395
33900,4,0,62,220,52,62,448
47500,-4,1,38,74,34,191,312
14810,-4,1,94,66,41,24,350
6320,1,0,369,12,37,320,385
105900,194,47,410,112,5,275,316
77400,-2,0,46,216,7,239,212
31820,143,0,297,89,27,231,62
14820,-4,0,100,173,41,320,32
800,24,0,158,69,51,408,485
600,77,120,646,112,8,100,84
8900,45,20,604,242,22,478,403
17120,79,6,338,111,50,320,91
36400,3,33,111,89,25,251,368
212100,1,0,91,28,37,320,350
50020,0,16,202,118,40,330,412
19420,2,15,117,35,51,390,480
7700,4,6,147,89,30,109,73
